Song ID,Title,Artist,Category,Tempo,Sound,Mood,Year,Artist Tier,Length
KQ0001,Neon Long Gone,Boone Vann,Power Current,3,Mainstream,Happy,2025,Core,3:23
KQ0002,Amen Dirt Road,Boone Vann,Power Current,4,Pop,Sad/Angry,2025,Core,4:10
KQ0003,Blue Jeans Amen,Casey Stapleton Jr.,Power Current,3,Mainstream,Sad/Angry,2025,Core,3:45
KQ0004,Barefoot,Casey Stapleton Jr.,Power Current,4,Mainstream,Sad/Angry,2026,Secondary,3:32
KQ0005,Long Gone Two-Lane,Reba Mae Delaney,Power Current,3,Pop,Sad/Angry,2025,Core,3:54
KQ0006,Gravel Amen,Casey Stapleton Jr.,Power Current,1,Mainstream,Sad/Angry,2025,Secondary,2:57
KQ0007,Firefly,Boone Vann,Power Current,3,Pop,Happy,2026,Core,3:16
KQ0008,Silver Dollar Blue Jeans,Jethro Prescott,Power Current,5,Pop,Sad/Angry,2026,Core,3:38
KQ0009,Two-Lane Heartland,June Ryder,Power Recurrent,2,Mainstream,Sad/Angry,2023,Secondary,3:20
KQ0010,Tailgate,Dutch Sloane,Power Recurrent,5,Mainstream,Happy,2024,Core,3:41
KQ0011,Dashboard,Casey Delaney,Power Recurrent,5,Mainstream,Neutral,2024,Core,3:41
KQ0012,Dixie Silver Dollar,Merle Boggs,Power Recurrent,1,Mainstream,Happy,2024,Secondary,4:03
KQ0013,Moonshine,Shelby Vann,Power Recurrent,4,Mainstream,Happy,2025,Secondary,3:41
KQ0014,Backroads,Sadie Krause,Power Recurrent,2,Mainstream,Sad/Angry,2025,Core,4:05
KQ0015,Sundown,June Ryder,Power Recurrent,5,Mainstream,Happy,2024,Core,4:09
KQ0016,Neon,Willa Lawson,Power Recurrent,5,Pop,Neutral,2025,Core,4:03
KQ0017,River,Sadie Hart,Power Recurrent,3,Mainstream,Neutral,2024,Secondary,3:49
KQ0018,Neon Cold Beer,Sadie Boggs,Power Recurrent,4,Mainstream,Sad/Angry,2025,Core,3:13
KQ0019,Tin Roof Gravel,Merle Prescott,Power 20-Teens,5,Mainstream,Neutral,2011,Secondary,3:48
KQ0020,Church Bells,Colt McCrae,Power 20-Teens,4,Mainstream,Neutral,2018,Core,4:07
